region;plotID;slope;Species;N;C;P;CN;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
Felsic;UPL6;UP;Banquetredendron Oblanceolatum;1.98825;51.73975;1623.1875;26.82794085;13.95699194;372.1508242;22075.435;2509.7225;11514.7575;92.035;331.34;147.9325;219.795;783.985
Felsic;UPL6;UP;Celtis Durandii;2.696;37.0725;1451.86;13.83989012;18.53813004;256.1970487;15407.95;4564.15;22732.89;271.98;770.935;369.2;72.995;1565.37
Felsic;UPL6;UP;Chryssophylum Albidum;2.686;49.086;1961.24;18.274758;13.69541719;250.2804348;12085.27;1866.28;4269.38;23.26;122.09;50.39;455.43;294.57
Felsic;UPL6;UP;Frema Orientalis;2.927;44.302;1222.15;15.13563375;23.94959702;362.4923291;19136.97;6234.84;8468.55;9.4;86.49;351.6;116.57;148.54
Felsic;UPL6;UP;Funtumia Latifolia;2.019;48.4405;1690.63;24.61147694;13.0156592;331.6996283;15180.36;2109.525;4294.46;24.215;144.705;70.525;141.165;1075.32
Felsic;UPL6;UP;Ritchiea Albersii;2.228;48.366;1283.56;21.70825853;17.35797314;376.8113684;17380.98;3277.77;19968.06;259.51;475.1;251.52;55.89;1722.73
Felsic;UPL6;UP;Trema Orientalis;2.473;45.416;1498.065;18.37615581;17.4229446;319.1799072;16684.5;2742.705;8010.37;152.125;271.03;217.71;161.125;1120.995
Felsic;UPL6;UP;Uvariopsis Congnesis;3.4315;43.0525;1234.41;12.59122846;29.05736053;361.8695649;13441.985;5042.64;13803.05;129.92;269.685;141;607.835;1571.42
Felsic;UPL7;MS;Cheatachme Aristata;2.205;56.794;1092.68;25.7569161;20.17974155;519.7679101;15705.37;2675.12;5912.2;44.88;146.34;107.32;130.73;495.61
Felsic;UPL7;MS;Chryssophylum Albidum;2.841;45.955;1071.69;16.17564238;26.50953167;428.808704;6770.06;2210.25;6211;22.29;139.3;76.15;365.9;579.49
Felsic;UPL7;MS;Diospyros Abyssinica;2.6918;48.0344;1253.04;18.08696476;21.82316466;393.5631928;12451.396;2595.446;11225.966;112.456;289.26;214.782;420.346;780.198
Felsic;UPL7;MS;Drypetes Ugendensis;2.591;41.645;2072.69;16.07294481;12.50066339;200.9224727;20888.15;2808.61;5191.79;44.36;211.7;54.44;66.54;1399.26
Felsic;UPL7;MS;Monodora Angolensis;3.204;44.532;3143.93;13.8988764;10.19106659;141.644375;26600.67;3741.83;14137.79;79.19;164.32;108.89;122.75;465.25
Felsic;UPL7;MS;Pterygota Mildbraedii;2.464;47.315;1188.5;19.20251623;20.73201515;398.1068574;12190.94;2123.72;16635.17;101.32;216.27;146.13;245.49;535.8
Felsic;UPL7;MS;Strombosia Scheffleri;3.128;43.448;2361.71;13.89002558;13.24464054;183.9683958;20810.1;4884.45;13031.16;101.39;268.38;107.35;495.01;272.35
Felsic;UPL7;MS;Teclea Nobilis;2.014;40.575;1039.77;20.14647468;19.36966829;390.2305318;11452.96;3103.78;26339.48;100.87;219.2;180.41;102.81;1119.3
Felsic;UPL7;MS;Uvariopsis Congnesis;3.528;43.825;1552.99;12.42205215;22.71746759;282.1975673;20080.36;3320.94;9410.35;66.3;182.82;68.31;385.74;1557.01
Felsic;UPL8;MS;Chryssophylum Albidum;3.127;48.781;948.53;15.59993604;32.96680126;514.2799911;4785.92;1641.1;4450.93;18.82;259.72;184.44;715.16;784.79
Felsic;UPL8;MS;Diospyros Abyssinica;2.862;47.186;1229.03;16.48707198;23.28665696;383.9287894;14473.27;4024.58;13661.72;64.38;224.35;107.3;981.27;468.2
Felsic;UPL8;MS;Monodora Angolensis;2.695;41.138;1033.13;15.26456401;26.08577817;398.1880305;7106.45;888.06;2938.64;11.76;129.39;86.26;562.63;511.66
Felsic;UPL8;MS;Pterygota Mildbraedii;2.773;45.821;1483.57;16.52398125;18.6913998;308.8563398;15925.72;2240.5;17261.95;125.15;129.18;94.87;756.93;322.96
Felsic;UPL8;MS;Tabernaemontana Holistii;2.595;62.347;1481.2;24.02581888;17.51957872;420.9222252;12099;2657.33;7991.17;234.08;249.42;151.57;141.98;894.09
Felsic;UPL8;MS;Teclea Nobilis;2.7135;42.112;1076.28;15.54341276;25.22166492;392.1476689;12298.395;2615.96;14292.565;64.6;209.955;161.46;354.86;862.955
Felsic;UPL8;MS;Uvariopsis Congnesis;3.514;43.08666667;1283.57;12.30821811;27.76468133;338.895525;15179.23667;3161.493333;9768.966667;59.92666667;161.88;107.2466667;292.12;886.9066667
Mixed;NPL1;PL;Carapa Grandiflora;1.913333333;48.96666667;848.68;25.63793946;22.84220007;584.0818596;7853.65;2625.996667;5593.696667;33.61666667;195.63;145.78;350.2866667;965.5833333
Mixed;NPL1;PL;Cleistanthus Polystachyus;1.896666667;49.60333333;1181.63;26.19440018;18.05917273;474.246347;9493.03;1890.01;5932.363333;57.49;212.7033333;136.73;369.21;932.23
Mixed;NPL1;PL;Syzygium Guineense;1.82;49.23666667;833.5233333;27.08392035;22.34488651;602.6378465;4759.396667;2367.31;6801.573333;24.57666667;262.6066667;441.6533333;445.87;450.9066667
Mixed;NPL10;V;Carapa Grandiflora;1.928;48.66766667;1214.603333;25.57329124;18.86834122;488.4073221;8672.173333;1857.49;3476.246667;18.33;298.8266667;443.9633333;303.9466667;438.5833333
Mixed;NPL10;V;Cleistanthus Polystachyus;2;49.2;825.12;24.6;24.23889858;596.2769052;4905.88;1660;4387.58125;19.70428571;212.62;144.35;152.15;391.7414286
Mixed;NPL10;V;Melchiora Schliebenii ;1.627;49.05666667;767.81;30.30163345;21.71375394;662.7908714;7423.53;2829.963333;4473.066667;19.15333333;169.8166667;483.67;477.0266667;230.9966667
Mixed;NPL10;V;Syzygium Guineense;1.5325;50.944;878.91;33.21847692;18.56008261;619.8847373;6797.83;2286.56;5626.355;21.725;157.76;120.465;294.43;559.455
Mixed;NPL11;V;Carapa Grandiflora;1.956;48.9785;859.015;25.06564621;23.23933468;584.6947454;7836.3;1815.75;2286.2;13.825;216.615;147.42;129.685;764.145
Mixed;NPL11;V;Chionanthus Africanus ;2.263;47.90366667;1069.283333;21.43214863;23.79895762;523.848175;10413.35;1739.103333;4079.766667;26.91666667;246.7733333;138.23;89.23666667;576.12
Mixed;NPL11;V;Melchiora Schliebenii ;1.729666667;49.49566667;898.3766667;28.86043319;19.92692238;570.6631033;7021.423333;2632.356667;4019.823333;18.28333333;302.9366667;872.7366667;330.2;410.8333333
Mixed;NPL11;V;Symphonia Globulifera;2.028;48.06;845.26;23.69822485;23.99261766;568.582448;5475.96;3431.58;7291.85;34.38;497.45;477.23;780.55;446.89
Mixed;NPL11;V;Syzygium Guineense;1.578;48.23966667;1158.403333;30.63677505;16.13685255;497.2926717;9942.976667;2352.34;7564.696667;94.46666667;253.6133333;201.39;302.5933333;382.0033333
Mixed;NPL12;V;Carapa Grandiflora;1.7605;47.4165;924.835;27.08384892;18.99120485;512.9977964;5384.165;1617.88;2420.865;13.645;207.23;145.66;380.085;656.62
Mixed;NPL12;V;Chionanthus Africanus ;2.03;47.669;1285.12;23.54826947;15.97851519;376.6767073;9867.783333;2345.193333;6833.466667;29.04;268.78;231.93;30.43666667;444.1933333
Mixed;NPL12;V;Ixora Burundiensis;1.889;48.71466667;830.11;25.84972223;24.22223512;620.4622823;7923.856667;1880.366667;4102.743333;24.55333333;176.4933333;145.43;102.1366667;445.6633333
Mixed;NPL12;V;Syzygium Guineense;1.380666667;47.91133333;693.63;34.79038736;19.90950683;690.8177938;5558.063333;3066.346667;6234.86;20.76;221.2533333;228.3666667;321.3066667;368.5533333
Mixed;NPL2;PL;Cleistanthus Polystachyus;2.097333333;50.101;1061.13;16.51693531;19.73166588;470.5372606;5443.393333;1630.216667;2886.24;15.68;199.4166667;131.1733333;129.4466667;595.45
Mixed;NPL2;PL;Sericanthe Leonardii;2;49.2;1005.85;24.6;19.88368047;489.1385395;10294.73;372.61;16038.69;91.63;258.59;205.65;46.83;2343.6
Mixed;NPL2;PL;Syzygium Guineense;1.7715;47.792;738.35;27.30736374;24.48679034;653.8172106;6496.705;2412.31;5169.87;20.11;150.405;697.775;429.535;185.85
