region;plotID;slope;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si;BA;meanWD;predHeight18;DBH18
Felsic;UPL7;MS;3493;DiospyrosAbyssinica;2.19;49.032;22.3890411;21900;490320;1077.41;20.32652379;455.0913765;11126.65;4561.75;23265.71;189.09;155.6;128.03;466.81;490.45;0.168023359;0.6;12.07440291;18.5
Felsic;UPL7;MS;3497;CheatachmeAristata;2.205;56.794;25.7569161;22050;567940;1092.68;20.17974155;519.7679101;15705.37;2675.12;5912.2;44.88;146.34;107.32;130.73;495.61;0.319232109;0.612;14.55210658;25.5
Felsic;UPL7;MS;3501;DiospyrosAbyssinica;2.978;47.818;16.05708529;29780;478180;1599.76;18.61529229;298.9073361;12891.84;2710.82;10721.59;89.76;229.39;145.61;999.35;552.54;0.100391809;0.6;10.20986927;14.3
Felsic;UPL7;MS;3502;StrombosiaScheffleri;3.128;43.448;13.89002558;31280;434480;2361.71;13.24464054;183.9683958;20810.1;4884.45;13031.16;101.39;268.38;107.35;495.01;272.35;0.056207434;0.584;8.292115516;10.7
Felsic;UPL7;MS;3503;DiospyrosAbyssinica;2.674;47.466;17.75093493;26740;474660;1018.53;26.25352223;466.0245648;17519.49;3575.98;7368.63;93.15;417.13;356.38;277.41;573.05;0.051077138;0.6;7.996668776;10.2
Felsic;UPL7;MS;3522;ChryssophylumAlbidum;2.841;45.955;16.17564238;28410;459550;1071.69;26.50953167;428.808704;6770.06;2210.25;6211;22.29;139.3;76.15;365.9;579.49;0.110460938;0.6023;10.54542598;15
Felsic;UPL7;MS;3550;UvariopsisCongnesis;3.528;43.825;12.42205215;35280;438250;1552.99;22.71746759;282.1975673;20080.36;3320.94;9410.35;66.3;182.82;68.31;385.74;1557.01;0.067204434;0.612;8.860122003;11.7
Felsic;UPL7;MS;3551;MonodoraAngolensis;3.204;44.532;13.8988764;32040;445320;3143.93;10.19106659;141.644375;26600.67;3741.83;14137.79;79.19;164.32;108.89;122.75;465.25;1.029810138;0.49;19.18898189;45.8
Felsic;UPL7;MS;3552;DrypetesUgendensis;2.591;41.645;16.07294481;25910;416450;2072.69;12.50066339;200.9224727;20888.15;2808.61;5191.79;44.36;211.7;54.44;66.54;1399.26;0.082968438;0.6945;9.556477238;13
Felsic;UPL8;MS;3588;DiospyrosAbyssinica;2.862;47.186;16.48707198;28620;471860;1229.03;23.28665696;383.9287894;14473.27;4024.58;13661.72;64.38;224.35;107.3;981.27;468.2;0.079183309;0.6;9.399762741;12.7
Felsic;UPL8;MS;3589;TecleaNobilis;2.602;41.962;16.12682552;26020;419620;1023.52;25.42207285;409.9773331;10785.27;2977.89;6910.79;70.52;223.64;193.42;112.83;481.54;0.088152738;0.745;9.761885204;13.4
Felsic;UPL8;MS;3597;UvariopsisCongnesis;3.671;43.213;11.77145192;36710;432130;1238.58;29.63877989;348.8914725;17707.45;2832.72;7023.2;76.19;214.9;156.29;132.84;695.48;0.184769238;0.5775;12.43210347;19.4
Felsic;UPL8;MS;3605;PterygotaMildbraedii;2.773;45.821;16.52398125;27730;458210;1483.57;18.6913998;308.8563398;15925.72;2240.5;17261.95;125.15;129.18;94.87;756.93;322.96;0.10753495;0.5395;10.45066057;14.8
Felsic;UPL8;MS;3606;TecleaNobilis;2.825;42.262;14.96;28250;422620;1129.04;25.021257;374.3180047;13811.52;2254.03;21674.34;58.68;196.27;129.5;596.89;1244.37;0.0908038;0.745;9.863107005;13.6
Felsic;UPL8;MS;3611;TabernaemontanaHolistii;2.595;62.347;24.02581888;25950;623470;1481.2;17.51957872;420.9222252;12099;2657.33;7991.17;234.08;249.42;151.57;141.98;894.09;0.103219609;0.5261;10.3068592;14.5
Felsic;UPL8;MS;3613;UvariopsisCongnesis;3.182;42.321;13.30012571;31820;423210;1447.27;21.98622234;292.4195209;16375.15;4248.51;11745.77;55.22;129.49;59.03;89.5;1725.3;0.056207434;0.5775;8.292115516;10.7
Felsic;UPL8;MS;3614;MonodoraAngolensis;2.695;41.138;15.26456401;26950;411380;1033.13;26.08577817;398.1880305;7106.45;888.06;2938.64;11.76;129.39;86.26;562.63;511.66;0.421464934;0.49;15.6555898;29.3
Felsic;UPL8;MS;3640;ChryssophylumAlbidum;3.127;48.781;15.59993604;31270;487810;948.53;32.96680126;514.2799911;4785.92;1641.1;4450.93;18.82;259.72;184.44;715.16;784.79;0.2123992;0.6023;12.9632979;20.8
Felsic;UPL8;MS;3642;UvariopsisCongnesis;3.689;43.726;11.85307671;36890;437260;1164.86;31.66904177;375.3755816;11455.11;2403.25;10537.93;48.37;141.25;106.42;654.02;239.94;0.077941238;0.5775;9.347006901;12.6
