plotID;treeID;Species;N;C;CN;N_mass;C_mass;P;NP;CP;K;Mg;Ca;Na;Fe;Al;Mn;Si
KBPL12;1829;Dombeya Goetzenii;4.39;47.3;10.77;43900;473000;2552.99;17.19552368;185.2729545;17049.52;3476.37;9058.21;33.99;154.84;96.3;158.62;347.45
KBPL12;1830;Dombeya Goetzenii;4.45;46.33;10.41;44500;463300;3195;13.92801252;145.0078247;23683;3586.94;9492.8;36.5;228.63;147.93;153.7;443.8
KBPL12;1840;Neoboutonia Macrocalyx;3.55;47.53;13.4;35500;475300;2775.86;12.78882941;171.2262146;15000.47;3837.33;9390.92;76.49;184.68;192.15;214.53;544.73
KBPL12;1845;Dombeya Goetzenii;4.15;46.31;11.16;41500;463100;3362.16;12.34325553;137.7388346;24505.1;3122.55;7808.32;36.71;187.43;98.55;204.82;351.67
KBPL6;1887;Allophylus Kivuensis;4.34;47.62;10.99;43400;476200;2925.35;14.83583161;162.7839404;18450.34;4071.29;7915.66;39.71;336.6;130.48;181.53;3154.16
KBPL6;1893;Macaranga Kilimandsharica;2.35;47.16;20.06;23500;471600;1320.31;17.79885027;357.188842;5248.05;3623.05;5892.58;52.73;332.03;136.72;412.11;958.98
KBPL6;1896;Allophylus Kivuensis;3.3;47.03;14.27;33000;470300;2159.43;15.28181048;217.7889536;11868.3;5571.07;6914.76;60.99;377.38;194.41;360.22;493.64
KBPL6;1898;Allophylus Kivuensis;4.22;44.52;10.56;42200;445200;3327.23;12.68322298;133.8049969;22675.28;8810.88;13625.23;79.08;511.14;291.25;457.13;578.65
KBPL6;1900;Alangium Chinense;3.68;45.86;12.48;36800;458600;3199.39;11.50219261;143.3398242;21448.89;2827.15;7315.07;53.45;330.25;143.17;32.45;284.43
KBPL6;1909;Neoboutonia Macrocalyx;4.11;47.24;11.49;41100;472400;2837.56;14.48427522;166.4810612;14702.43;5404.87;7998.01;99.35;353.7;156.98;81.47;431.2
KBPL6;1914;Neoboutonia Macrocalyx;4.01;44.45;11.08;40100;444500;3669.93;10.92663893;121.1194764;12516.96;8975.13;13287.49;275.06;290.13;188.39;135.64;482.29
KBPL6;1923;Dombeya Goetzenii;4.32;44.74;10.35;43200;447400;3067.48;14.08322141;145.8526217;25190.38;5196.22;12491.97;52.59;311.62;165.55;105.17;687.51
KBPL6;1924;Dombeya Goetzenii;4.49;44.97;10.02;44900;449700;2810.78;15.97421356;159.9911768;23377.26;5550.75;11492.92;59.01;544.85;479.94;112.12;3406.77
