plotID_x,treeID,Species,N,C,CN,N_mass,C_mass,P,NP,CP,K,Mg,Ca,Na,Fe,Al,Mn,Si,forest,plotID_y,meanWD,predHeight18,predHeight20,DBH18,DBH20,TreeBA,BA per Ha,name
KBPL9,1308,Dombeya Goetzenii,4.42,45.35,10.27,44200,453500,2999.06,14.73795122,151.2140471,23136.66,6103.68,12578.7,73.52,307.26,248.82,363.81,422.24,Kahuzi,KBPL9,0.5,18.86104408,18.86716176,43.9,46.0,0.16619064,1.0386915,Dombeya Goetzenii
KBPL9,1320,Trichylia Volkensii,3.07,47.54,15.48,30700,475400,1547.69,19.83601367,307.167456,6194.62,2754.88,4954.54,21.28,174.11,147.03,472.04,918.94,Kahuzi,KBPL9,0.6441,23.97833511,24.16091249,92.5,96.72,0.734722725,4.59201703,Trichilia Volkensii
KBPL9,1321,Myrianthus Holstii,2.52,42.86,17.01,25200,428600,1338.12,18.83239171,320.3001226,8222.16,3818.93,7141.29,41.88,584.31,450.69,299.13,1439.82,Kahuzi,KBPL9,0.469,11.2294426,11.33544237,16.5,18.15,0.025872843,0.16170527,Myrianthus Holstii
KBPL9,1349,Dombeya Goetzenii,3.83,45.35,11.85,38300,453500,2682.38,14.27836474,169.066277,18759.4,5086.94,11338.79,55.56,433.01,327.63,327.63,494.32,Kahuzi,KBPL9,0.5,9.812617948,9.454861621,13.5,14.01,0.015415839,0.096348994,Dombeya Goetzenii
KBPL7,1403,Dombeya Goetzenii,4.52,44.86,9.92,45200,448600,2696.21,16.76427281,166.3816988,22626.74,6888.92,13162.16,61.57,595.02,364.93,73.89,581.69,Kahuzi,KBPL7,0.5,7.996668776,8.434709189,10.2,12.04,0.011385284,0.071158025,Dombeya Goetzenii
KBPL7,1404,Neoboutonia Macrocalyx,3.31,45.56,13.78,33100,455600,3172.48,10.43347791,143.6100464,14525.19,8567.83,10912.79,89.15,300.39,170.54,56.2,501.94,Kahuzi,KBPL7,0.33,9.079246074,9.694984499,12.1,14.5,0.016513035,0.103206469,Neoboutonia Macrocalyx
KBPL7,1405,Neoboutonia Macrocalyx,3.55,45.4,12.78,35500,454000,3319.86,10.693222,136.7527546,17746.49,7689.89,9345.07,76.1,254.93,152.2,45.66,481.33,Kahuzi,KBPL7,0.33,15.40692321,15.32951144,28.4,29.94,0.070403539,0.440022117,Neoboutonia Macrocalyx
KBPL7,1411,Dombeya Goetzenii,3.83,41.66,10.88,38300,416600,3222.68,11.88451848,129.2712897,36649.53,8262.37,16854.19,99.84,431.29,289.52,109.82,531.12,Kahuzi,KBPL7,0.5,13.43109279,13.10078125,22.1,22.77,0.040720862,0.254505385,Dombeya Goetzenii
KBPL7,1425,Alangium Chinense,3.82,45.1,11.8,38200,451000,2839.86,13.45136732,158.8106456,18323.73,4166.67,11211.6,105.61,222.73,78.73,28.8,170.89,Kahuzi,KBPL7,0.4017,11.5761222,11.76421196,17.3,19.2,0.028952986,0.18095616,Alangium Chinense
KBPL7,1426,Alangium Chinense,4.09,44.84,10.97,40900,448400,3409.89,11.99452182,131.4998431,22632.21,4815.65,10315.96,88.22,172.6,88.22,28.77,195.62,Kahuzi,KBPL7,0.4017,12.73926599,12.85236309,20.2,22.07,0.038255648,0.2390978,Alangium Chinense
KBPL7,1427,Alangium Chinense,3.85,44.12,11.46,38500,441200,3681.84,10.45672816,119.8313887,22655.85,5849.13,11807.7,93.8,291.19,105.53,33.22,244.28,Kahuzi,KBPL7,0.4017,9.187155726,8.989735679,12.3,13.09,0.01345768,0.084110499,Alangium Chinense
KBPL7,1434,Maesa Lanceolata,3.42,47.89,14.01,34200,478900,2973.74,11.50066919,161.0429964,24283.31,5346.18,8202.36,44.33,331.49,159.96,204.29,256.32,Kahuzi,KBPL7,0.676,16.13147718,16.49379574,31.1,34.46,0.09326559,0.582909939,Maesa Lanceolata
KBPL7,1439,Maesa Lanceolata,3.11,48.59,15.61,31100,485900,2424.7,12.82632903,200.3959253,21380.94,2958.89,6465.24,35.99,248.15,96.61,73.88,170.49,Kahuzi,KBPL7,0.676,13.87632416,14.25538552,23.4,26.27,0.054201467,0.33875917,Maesa Lanceolata
KBPL7,1442,Maesa Lanceolata,3.56,47.21,13.25,35600,472100,2772.82,12.8389149,170.2598798,29702.91,3337.86,6982.52,25.24,205.83,91.26,97.09,166.99,Kahuzi,KBPL7,0.676,10.45066057,11.06953095,14.8,17.52,0.024107884,0.150674278,Maesa Lanceolata
KBPL8,1462,Allophylus Kivuensis,4.34,49.15,11.33,43400,491500,2445.61,17.7460838,200.9723545,14069.36,2228.98,3171.5,17.1,241.33,133.02,535.87,476.96,Kahuzi,KBPL8,0.5178,11.86984612,11.9936861,18.0,19.78,0.030728649,0.192054058,Allophylus Kivuensis
KBPL8,1463,Allophylus Kivuensis,4.42,47.24,10.69,44200,472400,2471.04,17.88720539,191.1745662,17082.62,3236.47,5975.31,34.19,214.62,123.46,1094.02,442.55,Kahuzi,KBPL8,0.5178,10.49815236,11.33544237,14.9,18.15,0.025872843,0.16170527,Allophylus Kivuensis
KBPL8,1464,Allophylus Kivuensis,4.59,47.7,10.39,45900,477000,2734.87,16.78324747,174.4141403,16633.79,3755.96,4731.75,24.54,235.93,134.01,687.02,385.03,Kahuzi,KBPL8,0.5178,10.73237187,10.22050976,15.4,15.61,0.019138007,0.119612542,Allophylus Kivuensis
